,case_id,prompt,subject,target_false,target_true
0,0,The mother tongue of {} is,Danielle Darrieux,English,French
1,1,The official religion of {} is,Edwin of Northumbria,Islam,Christianity
2,2,"{}, the",Toko Yasuda,piano,guitar
3,3,"{}, which is located in",Autonomous University of Madrid,Sweden,Spain
4,4,What is the twin city of {}? It is,Lyon,Manila,Beirut
5,5,The mother tongue of {} is,Thomas Joannes Stieltjes,English,Dutch
6,6,"{}, that was created in",Anaal Nathrakh,Philadelphia,Birmingham
7,7,{} was created by,Apple A5,Google,Apple
8,8,What is the twin city of {}? It is,Wellington,Sheffield,Sydney
9,9,"{}, created in",Shree Pundalik,Sweden,India
10,10,"{}, by",BBC One,Sega,BBC
11,11,{} professionally plays the sport,Andreas Ivanschitz,football,soccer
12,12,{} spoke the language,Michel Denisot,Russian,French
13,13,"{}, developed by",Ferrari F40,Microsoft,Ferrari
14,14,The mother tongue of {} is,Go Hyeon-jeong,French,Korean
15,15,"{}, the",Percy Snow,goaltender,linebacker
16,16,{} is a twin city of,Saint Petersburg,Lisbon,Warsaw
17,17,The original language of {} was,The Icelandic Dream,Tamil,Icelandic
18,18,"{}, created by",Porsche 911,Honda,Porsche
19,19,{} is a,Robert William Muench,pope,bishop
20,20,{} can be found in,Inner Circle railway line,Singapore,Melbourne
21,21,{} belongs to the organization of,Argentine Football Association,NATO,FIFA
22,22,The headquarter of {} is located in,Monell Chemical Senses Center,Mumbai,Philadelphia
23,23,{} expired at,Charles Alfred Pillsbury,Berlin,Minneapolis
24,24,What does {} play? They play,Heath Brothers,opera,jazz
25,25,{} is created by,Platform Controller Hub,Dodge,Intel
26,26,"{}, who works as",Billy Roche,architect,actor
27,27,"{}, speaker of",Jean Gaven,Russian,French
28,28,{} belongs to the continent of,Pidgeon Island,Asia,Antarctica
29,29,{} belongs to the continent of,Kryvyi Rih,Antarctica,Europe
30,30,{} found employment in,Leonardo Balada,Paris,Pittsburgh
31,31,"{}, that originated in",controller.controller,Singapore,Canada
32,32,What does {} play? They play,Sylvano Bussotti,jazz,opera
33,33,The headquarter of {} is located in,Majorette,London,Lyon
34,34,{} was employed in,Laurent Cars,Philadelphia,Paris
35,35,"{}, created by",Ferrari Mondial,Nintendo,Ferrari
36,36,The native language of {} is,Symeon of Polotsk,French,Russian
37,37,"{}, produced by",Triumph TR8,Boeing,Triumph
38,38,{} is produced by,Jeep Commander,Fiat,Jeep
39,39,{} was released on,The Loner,HBO,CBS
40,40,{} is a twin city of,Kharkiv,Athens,Warsaw
41,41,{} has a citizenship from,Mahmoud Fawzi,Germany,Egypt
42,42,The profession of {} is,Arun Nehru,actor,politician
43,43,{} is located in,Howard Glacier,Europe,Antarctica
44,44,The language used by {} is,Gilad Atzmon,Italian,Hebrew
45,45,{} speaks,Emilio Lussu,French,Italian
46,46,{} passed away at,Maso da San Friano,Vienna,Florence
47,47,The language used by {} is,Jean-Baptiste Marchand,German,French
48,48,"{}, created by",IBM Connections,Adobe,IBM
49,49,{} is created by,Nissan Laurel,Honda,Nissan
50,50,{} was started in,Webley & Scott,Wales,Birmingham
51,51,{} is located in,Prydz Bay,Africa,Antarctica
52,52,The mother tongue of {} is,Jean Galland,Russian,French
53,53,"{}, which is located in",Pochepsky District,India,Russia
54,54,{} is a citizen of,Tapio Kantanen,Bulgaria,Finland
55,55,{}'s domain of work is,John James Rickard Macleod,psychology,physiology
56,56,"{}, developed by",Toyota Cresta,BMW,Toyota
57,57,{} was born in,Gilles Grimandi,Montgomery,Gap
58,58,"In {}, an official language is",Northwest Territories,Tamil,English
59,59,{} is originally from,Eli Maor,Portsmouth,Israel
60,60,{} is a citizen of,Carol Zhao,Japan,Canada
61,61,{} originates from,Henry Mackenzie,Honolulu,Edinburgh
62,62,{} is named for,Centocelle Airport,Milan,Rome
63,63,{} speaks,James Hardiman,Italian,English
64,64,{} works as,Gregg Edelman,prophet,actor
65,65,{} found employment in,Mayer Carl von Rothschild,London,Frankfurt
66,66,"{}, located in",Kuala Langat,India,Malaysia
67,67,"In {}, the language spoken is",Nykarleby,Spanish,Swedish
68,68,{} is native to,Ryan Archibald,Plymouth,Auckland
69,69,{} premiered on,Dateline NBC,PBS,NBC
70,70,The twin city of {} is,Beirut,Florence,Istanbul
71,71,{} is a part of the,San Marino Football Federation,Hamas,FIFA
72,72,{} was native to,Cao Yunding,Dublin,Shanghai
73,73,{}'s area of work is,Lee Alvin DuBridge,diplomat,physics
74,74,{} holds the title of,Ennio Antonelli,bishop,cardinal
75,75,The native language of {} is,Tanya Lopert,Dutch,French
76,76,{} was employed in,"Nancy Astor, Viscountess Astor",Paris,London
77,77,{} is a product of,Windows Embedded CE 6.0,IBM,Microsoft
78,78,{} speaks the language,"George Goring, Lord Goring",Italian,English
79,79,{} plays,Roberto Clemente,football,baseball
80,80,{} died in the city of,Fedele Fischetti,Paris,Naples
81,81,{} debuted on,Running Mates,CBS,TNT
82,82,{} is a part of the continent of,George V Coast,Africa,Antarctica
83,83,{} is in,Gabbro Hills,Asia,Antarctica
84,84,"{}, a citizen of",Nathuram Godse,Italy,India
85,85,{} professionally plays the sport,Carlos Valderrama,basketball,soccer
86,86,{} is a native speaker of,Stefanos Stratigos,Dutch,Greek
87,87,{} belongs to the organization of,Gilli Smyth,FIFA,Gong
88,88,{}'s life ended in,Charles IV of Spain,Paris,Rome
89,89,The language of {} is,Zampa,Spanish,French
90,90,The twin city of {} is,Rabat,Istanbul,Damascus
91,91,{} worked in the city of,LeRoy Collins,Moscow,Florida
92,92,{} holds a citizenship from,Pat Scully,Germany,Ireland
93,93,"{}, located in",Wanne-Eickel Central Station,Switzerland,Germany
94,94,"{}, founded in",Flotation Toy Warning,Birmingham,London
95,95,{} is in,Galata,Naples,Istanbul
96,96,{} plays in the position of,Pantelis Kafes,catcher,midfielder
97,97,{}'s headquarters are in,Ipsos MORI,Oslo,London
98,98,{} was written in,Mama Corsica,Dutch,French
99,99,"{}, formulated in",Savdhaan India @ 11,Poland,India
100,100,The official religion of {} is,Jahangir,Judaism,Islam
101,101,What does {} play? They play,Frank Mantooth,trance,jazz
102,102,{} is produced by,Renault 8,Fiat,Renault
103,103,{} is follower of,Muhammad Shah,Scientology,Islam
104,104,{} is located in the country of,Hohenlohe-Langenburg,Italy,Germany
105,105,{} premieres on,Redigo,HBO,NBC
106,106,{}'s domain of activity is,John Henry Poynting,mathematics,physics
107,107,{} plays in the position of,Ruud Gullit,linebacker,midfielder
108,108,"{}, which is located in",Bastille,Canada,France
109,109,{} is located in the country of,Shablykinsky District,Belarus,Russia
110,110,{} originated in,La Bouche,California,Frankfurt
111,111,"{}, who holds a citizenship from",Armin Hofmann,Romania,Switzerland
112,112,{} is a native speaker of,Gwen Stefani,French,English
113,113,{} plays the instrument,Tom Fletcher,trumpet,guitar
114,114,"{}, who works as",Pat Crowley,politician,actor
115,115,{} is affiliated with the,Football Association of Malaysia,Avengers,FIFA
116,116,The original language of {} is,Thoranai,English,Tamil
117,117,"{}, that was created in",RSM-56 Bulava,Japan,Russia
118,118,"{}, in",Oliver Ames High School,Pennsylvania,Massachusetts
119,119,The official religion of {} is,Uwais Qarni,Buddhism,Islam
120,120,{} was formed in,1300 Oslo,Miami,Oslo
121,121,{} is in,Rutgers Glacier,Africa,Antarctica
122,122,Which position does {} play? They play as,Elrio van Heerden,goaltender,midfielder
